No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,부산,부산,92.022,92.337,92.663,92.992,93.341,93.662,93.979,94.286,94.556,94.834,95.142,95.459,95.801,96.087,96.364,96.598,96.773,96.863,96.880,96.875,96.875,96.865,96.859,96.839,96.841,96.838,96.851,96.880,96.924,96.963,97.004,97.048,97.078,97.116,97.197,97.314,97.439,97.578,97.738,97.896,98.055,98.218,98.356,98.493,98.598,98.701,98.813,98.930,99.054,99.179,99.321,99.439,99.558,99.670,99.783,99.896,100.000,100.102,100.208
2,부산,중구,96.046,96.154,96.351,96.562,96.810,97.049,97.332,97.570,97.730,97.888,98.041,98.206,98.372,98.521,98.681,98.836,98.910,98.953,98.933,98.900,98.876,98.876,98.857,98.826,98.789,98.765,98.744,98.724,98.725,98.729,98.728,98.731,98.733,98.742,98.753,98.772,98.795,98.826,98.962,99.095,99.212,99.277,99.340,99.418,99.489,99.554,99.617,99.683,99.746,99.811,99.878,99.944,99.972,99.989,99.993,99.997,100.000,100.004,100.003
3,부산,서구,94.380,94.721,94.997,95.280,95.544,95.783,96.031,96.282,96.482,96.687,96.926,97.167,97.402,97.641,97.871,98.094,98.263,98.310,98.294,98.292,98.282,98.275,98.270,98.258,98.244,98.241,98.239,98.233,98.243,98.248,98.245,98.244,98.246,98.258,98.285,98.341,98.396,98.496,98.619,98.736,98.844,98.968,99.072,99.160,99.233,99.298,99.369,99.437,99.503,99.580,99.653,99.721,99.788,99.856,99.911,99.956,100.000,100.051,100.110
4,부산,동구,94.372,94.620,94.852,95.083,95.332,95.585,95.832,96.091,96.288,96.490,96.698,96.889,97.091,97.285,97.477,97.665,97.805,97.854,97.887,97.907,97.925,97.936,97.910,97.903,97.901,97.902,97.969,98.039,98.107,98.173,98.149,98.132,98.128,98.138,98.169,98.219,98.276,98.359,98.451,98.575,98.690,98.798,98.906,99.015,99.085,99.161,99.226,99.287,99.351,99.420,99.491,99.576,99.670,99.761,99.858,99.946,100.000,100.041,100.096
5,부산,영도구,95.127,95.359,95.573,95.743,96.048,96.360,96.498,96.621,96.720,96.818,96.971,97.150,97.344,97.525,97.733,97.935,98.070,98.162,98.152,98.141,98.126,98.107,98.099,98.087,98.067,98.043,98.023,98.002,98.011,98.021,98.019,98.028,98.038,98.089,98.141,98.197,98.286,98.410,98.538,98.658,98.743,98.830,98.911,98.996,99.070,99.148,99.220,99.298,99.363,99.439,99.513,99.589,99.672,99.759,99.853,99.935,100.000,100.061,100.125
6,부산,부산진구,91.755,92.204,92.601,92.938,93.367,93.854,94.294,94.777,95.079,95.467,95.910,96.271,96.693,96.986,97.306,97.598,97.858,97.900,97.878,97.792,97.741,97.693,97.657,97.584,97.563,97.495,97.488,97.493,97.536,97.562,97.577,97.591,97.590,97.593,97.693,97.783,97.904,98.057,98.169,98.296,98.393,98.570,98.651,98.740,98.802,98.877,98.949,99.018,99.124,99.243,99.433,99.543,99.673,99.783,99.861,99.941,100.000,100.076,100.171
7,부산,동래구,91.242,91.513,91.905,92.301,92.651,92.882,93.165,93.467,93.729,93.990,94.388,94.741,95.090,95.360,95.670,95.848,96.015,96.123,96.207,96.273,96.337,96.373,96.344,96.323,96.367,96.396,96.419,96.469,96.520,96.532,96.550,96.563,96.578,96.611,96.684,96.815,96.981,97.140,97.316,97.517,97.673,97.823,97.978,98.129,98.265,98.413,98.541,98.691,98.837,98.989,99.147,99.314,99.471,99.615,99.756,99.881,100.000,100.130,100.239
8,부산,남구,92.552,92.964,93.379,93.728,94.085,94.445,94.751,95.031,95.318,95.562,95.844,96.117,96.434,96.755,97.049,97.304,97.530,97.626,97.656,97.661,97.692,97.643,97.678,97.616,97.578,97.566,97.536,97.596,97.631,97.677,97.655,97.717,97.774,97.812,97.864,97.927,97.986,98.059,98.176,98.275,98.444,98.575,98.649,98.748,98.815,98.871,98.929,99.021,99.128,99.226,99.305,99.407,99.547,99.640,99.762,99.895,100.000,100.119,100.241
9,부산,북구,94.091,94.400,94.664,94.933,95.204,95.421,95.641,95.838,96.049,96.248,96.489,96.764,97.035,97.231,97.430,97.605,97.722,97.849,97.859,97.857,97.827,97.827,97.827,97.833,97.852,97.870,97.906,97.938,97.959,97.970,97.972,97.974,97.984,98.005,98.065,98.182,98.310,98.430,98.539,98.652,98.751,98.825,98.901,98.980,99.064,99.169,99.256,99.351,99.429,99.497,99.576,99.646,99.708,99.773,99.849,99.932,100.000,100.087,100.180
10,부산,해운대구,89.611,90.058,90.498,91.038,91.574,92.087,92.628,93.100,93.583,94.039,94.474,94.922,95.375,95.834,96.251,96.616,96.838,96.933,96.874,96.778,96.682,96.584,96.486,96.378,96.325,96.264,96.269,96.331,96.423,96.535,96.689,96.850,96.914,96.959,97.085,97.191,97.311,97.430,97.623,97.798,98.011,98.235,98.416,98.609,98.718,98.816,98.920,99.021,99.113,99.228,99.358,99.462,99.575,99.681,99.799,99.896,100.000,100.101,100.212
11,부산,사하구,93.875,94.118,94.357,94.640,94.905,95.118,95.317,95.527,95.710,95.898,96.114,96.339,96.576,96.790,96.994,97.165,97.350,97.491,97.502,97.507,97.491,97.481,97.480,97.483,97.494,97.508,97.520,97.532,97.555,97.570,97.587,97.596,97.607,97.626,97.686,97.795,97.913,98.031,98.169,98.298,98.436,98.540,98.646,98.751,98.836,98.943,99.056,99.159,99.258,99.373,99.491,99.590,99.682,99.770,99.845,99.921,100.000,100.062,100.127
12,부산,금정구,93.243,93.471,93.763,94.098,94.463,94.732,94.945,95.175,95.410,95.616,95.961,96.295,96.635,96.816,96.996,97.173,97.300,97.433,97.461,97.475,97.449,97.453,97.456,97.460,97.475,97.484,97.489,97.509,97.539,97.551,97.563,97.573,97.584,97.598,97.666,97.783,97.892,98.019,98.156,98.286,98.376,98.494,98.586,98.667,98.760,98.839,98.948,99.044,99.133,99.252,99.351,99.441,99.543,99.652,99.774,99.898,100.000,100.092,100.181
13,부산,강서구,90.426,90.650,90.872,91.101,91.327,91.538,91.750,91.955,92.216,92.485,92.761,93.122,93.489,93.809,94.059,94.261,94.359,94.437,94.497,94.557,94.643,94.687,94.737,94.782,94.837,94.879,94.905,94.935,94.956,94.974,94.995,95.019,95.039,95.096,95.194,95.414,95.627,95.868,96.106,96.338,96.594,96.870,97.103,97.330,97.537,97.734,97.958,98.185,98.444,98.640,98.859,99.056,99.236,99.415,99.597,99.800,100.000,100.192,100.367
