No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,충북,충북,충북,92.711,92.964,93.199,93.439,93.685,93.934,94.192,94.450,94.667,94.886,95.125,95.366,95.608,95.843,96.057,96.241,96.411,96.505,96.547,96.559,96.551,96.550,96.567,96.596,96.620,96.646,96.673,96.738,96.848,97.010,97.156,97.299,97.424,97.538,97.659,97.784,97.892,98.019,98.149,98.288,98.408,98.542,98.672,98.788,98.881,98.981,99.087,99.194,99.295,99.397,99.489,99.580,99.681,99.759,99.841,99.923,100.000,100.078,100.197
2,충북,시지역,시지역,92.307,92.576,92.824,93.084,93.350,93.607,93.871,94.136,94.357,94.588,94.840,95.094,95.349,95.599,95.827,96.023,96.208,96.305,96.345,96.349,96.341,96.340,96.355,96.393,96.418,96.449,96.479,96.551,96.654,96.814,96.963,97.110,97.232,97.340,97.468,97.601,97.705,97.829,97.955,98.098,98.226,98.381,98.531,98.664,98.767,98.871,98.986,99.103,99.217,99.328,99.431,99.529,99.642,99.729,99.819,99.915,100.000,100.091,100.229
3,충북,군지역,군지역,93.492,93.714,93.924,94.125,94.331,94.566,94.815,95.059,95.267,95.464,95.679,95.896,96.110,96.318,96.504,96.666,96.807,96.891,96.938,96.966,96.960,96.958,96.977,96.989,97.013,97.028,97.047,97.098,97.224,97.387,97.528,97.665,97.796,97.921,98.028,98.137,98.253,98.386,98.523,98.655,98.759,98.854,98.945,99.029,99.101,99.195,99.283,99.371,99.447,99.531,99.602,99.681,99.757,99.817,99.882,99.940,100.000,100.054,100.134
4,충북,청주시,청주시,91.838,92.129,92.400,92.676,92.956,93.231,93.510,93.789,94.022,94.275,94.541,94.809,95.085,95.345,95.587,95.799,96.004,96.108,96.134,96.129,96.121,96.123,96.121,96.154,96.180,96.206,96.239,96.305,96.409,96.586,96.743,96.901,97.022,97.134,97.268,97.407,97.520,97.625,97.738,97.887,98.039,98.204,98.369,98.513,98.631,98.740,98.859,98.981,99.103,99.221,99.330,99.436,99.576,99.684,99.789,99.900,100.000,100.113,100.269
5,충북,청주시,상당구,93.379,93.654,93.845,94.060,94.298,94.546,94.763,95.001,95.221,95.443,95.687,95.963,96.238,96.506,96.754,96.946,97.121,97.212,97.243,97.153,97.146,97.134,97.109,97.105,97.125,97.134,97.156,97.187,97.257,97.434,97.594,97.766,97.862,97.951,98.049,98.173,98.272,98.361,98.457,98.590,98.717,98.798,98.874,98.941,99.015,99.083,99.165,99.260,99.340,99.416,99.486,99.563,99.653,99.739,99.827,99.921,100.000,100.071,100.161
6,충북,청주시,서원구,93.167,93.409,93.636,93.870,94.124,94.339,94.571,94.845,95.047,95.279,95.508,95.748,96.015,96.248,96.480,96.677,96.889,96.985,97.016,97.029,97.021,97.000,96.991,96.986,96.995,97.003,97.027,97.065,97.125,97.287,97.457,97.634,97.738,97.838,97.971,98.068,98.183,98.268,98.348,98.427,98.556,98.700,98.813,98.918,99.005,99.085,99.177,99.274,99.368,99.459,99.520,99.581,99.661,99.748,99.825,99.912,100.000,100.090,100.212
7,충북,청주시,흥덕구,90.349,90.675,91.013,91.336,91.652,91.965,92.296,92.604,92.878,93.159,93.479,93.769,94.080,94.377,94.639,94.867,95.097,95.209,95.226,95.236,95.229,95.260,95.273,95.373,95.420,95.470,95.525,95.629,95.779,95.969,96.103,96.251,96.364,96.481,96.638,96.792,96.907,97.009,97.131,97.342,97.528,97.724,97.954,98.129,98.260,98.377,98.505,98.653,98.794,98.946,99.101,99.242,99.454,99.583,99.719,99.870,100.000,100.125,100.315
8,충북,청주시,청원구,91.683,91.976,92.252,92.542,92.826,93.120,93.414,93.687,93.897,94.154,94.388,94.638,94.871,95.094,95.305,95.525,95.713,95.819,95.852,95.881,95.869,95.860,95.857,95.853,95.865,95.880,95.898,95.958,96.059,96.229,96.410,96.558,96.727,96.861,96.994,97.159,97.280,97.420,97.561,97.690,97.831,98.038,98.226,98.420,98.581,98.737,98.897,99.025,99.174,99.303,99.414,99.523,99.646,99.757,99.847,99.924,100.000,100.144,100.325
9,충북,충주시,충주시,92.999,93.219,93.412,93.648,93.891,94.124,94.366,94.608,94.812,94.996,95.222,95.461,95.683,95.920,96.120,96.281,96.418,96.498,96.573,96.602,96.594,96.588,96.655,96.723,96.754,96.813,96.852,96.950,97.047,97.176,97.317,97.441,97.574,97.673,97.778,97.894,97.957,98.154,98.340,98.481,98.558,98.707,98.826,98.933,99.022,99.121,99.228,99.327,99.425,99.514,99.605,99.700,99.759,99.805,99.867,99.940,100.000,100.044,100.144
