No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,충남,충남,충남,93.393,93.623,93.857,94.082,94.290,94.497,94.718,94.948,95.147,95.343,95.552,95.762,95.971,96.169,96.369,96.562,96.725,96.849,96.877,96.879,96.864,96.866,96.921,96.982,97.047,97.120,97.190,97.253,97.321,97.392,97.483,97.579,97.669,97.752,97.838,97.924,98.015,98.107,98.209,98.350,98.486,98.608,98.721,98.835,98.922,99.020,99.120,99.224,99.308,99.392,99.477,99.564,99.648,99.725,99.815,99.910,100.000,100.088,100.190
2,충남,시지역,시지역,92.721,92.965,93.217,93.460,93.678,93.894,94.123,94.364,94.570,94.775,94.993,95.213,95.433,95.639,95.846,96.047,96.223,96.365,96.394,96.395,96.384,96.393,96.462,96.537,96.620,96.714,96.803,96.886,96.958,97.039,97.144,97.253,97.355,97.455,97.553,97.651,97.755,97.863,97.974,98.136,98.293,98.431,98.558,98.686,98.785,98.895,99.008,99.126,99.218,99.312,99.407,99.507,99.602,99.688,99.791,99.898,100.000,100.101,100.215
3,충남,군지역,군지역,95.743,95.928,96.099,96.260,96.431,96.607,96.804,96.992,97.163,97.328,97.504,97.681,97.857,98.024,98.200,98.359,98.483,98.543,98.563,98.569,98.540,98.521,98.524,98.535,98.541,98.538,98.539,98.537,98.587,98.623,98.667,98.719,98.763,98.790,98.835,98.878,98.922,98.962,99.031,99.096,99.160,99.225,99.292,99.357,99.405,99.459,99.515,99.570,99.625,99.677,99.725,99.770,99.814,99.857,99.903,99.953,100.000,100.045,100.099
4,충남,천안시,천안시,91.264,91.572,91.892,92.182,92.443,92.692,92.957,93.245,93.496,93.743,93.986,94.240,94.485,94.714,94.953,95.184,95.387,95.569,95.607,95.618,95.624,95.679,95.768,95.883,95.999,96.144,96.270,96.362,96.451,96.562,96.688,96.819,96.937,97.042,97.150,97.249,97.373,97.499,97.618,97.803,97.990,98.130,98.258,98.407,98.516,98.665,98.812,98.963,99.075,99.192,99.296,99.426,99.548,99.655,99.774,99.888,100.000,100.114,100.246
5,충남,천안시,동남구,92.051,92.387,92.684,92.981,93.244,93.515,93.788,94.066,94.293,94.494,94.717,94.962,95.177,95.386,95.596,95.813,96.008,96.166,96.210,96.215,96.217,96.284,96.361,96.437,96.506,96.621,96.722,96.800,96.878,96.972,97.108,97.234,97.345,97.443,97.551,97.648,97.742,97.856,97.976,98.150,98.279,98.397,98.502,98.623,98.720,98.830,98.980,99.148,99.279,99.373,99.457,99.538,99.624,99.718,99.817,99.918,100.000,100.075,100.151
6,충남,천안시,서북구,90.653,90.947,91.280,91.566,91.825,92.058,92.315,92.620,92.887,93.168,93.426,93.688,93.955,94.201,94.460,94.704,94.912,95.112,95.147,95.160,95.170,95.215,95.315,95.458,95.611,95.778,95.925,96.027,96.125,96.248,96.368,96.503,96.627,96.738,96.846,96.947,97.094,97.230,97.348,97.541,97.773,97.929,98.074,98.244,98.362,98.540,98.684,98.822,98.919,99.053,99.172,99.339,99.489,99.605,99.739,99.865,100.000,100.145,100.318
7,충남,공주시,공주시,93.335,93.628,93.948,94.256,94.544,94.871,95.159,95.461,95.748,96.034,96.340,96.640,96.949,97.167,97.383,97.588,97.694,97.733,97.698,97.665,97.631,97.595,97.584,97.567,97.561,97.551,97.561,97.624,97.672,97.746,97.819,97.925,98.023,98.117,98.206,98.299,98.385,98.496,98.600,98.689,98.765,98.845,98.929,99.020,99.085,99.166,99.244,99.335,99.424,99.492,99.571,99.636,99.705,99.767,99.839,99.926,100.000,100.078,100.165
8,충남,보령시,보령시,94.993,95.194,95.378,95.560,95.738,95.918,96.139,96.352,96.546,96.744,96.939,97.137,97.332,97.529,97.705,97.870,98.026,98.089,98.128,98.056,97.955,97.888,97.933,97.960,97.977,97.992,97.991,97.949,98.039,98.113,98.192,98.241,98.303,98.329,98.388,98.434,98.481,98.549,98.653,98.775,98.889,99.018,99.117,99.224,99.284,99.354,99.425,99.504,99.554,99.594,99.644,99.696,99.754,99.812,99.871,99.940,100.000,100.061,100.143
9,충남,아산시,아산시,90.183,90.456,90.706,90.974,91.216,91.445,91.717,91.998,92.213,92.427,92.672,92.908,93.141,93.396,93.642,93.891,94.117,94.321,94.369,94.413,94.449,94.529,94.640,94.767,94.923,95.065,95.209,95.340,95.452,95.577,95.709,95.837,95.963,96.080,96.207,96.342,96.496,96.649,96.790,97.025,97.254,97.504,97.731,97.920,98.074,98.222,98.381,98.554,98.701,98.852,99.007,99.174,99.328,99.467,99.641,99.826,100.000,100.168,100.366
