No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,대구,대구,92.845,93.184,93.537,93.882,94.229,94.550,94.891,95.243,95.532,95.801,96.075,96.346,96.613,96.876,97.126,97.356,97.526,97.652,97.679,97.673,97.644,97.589,97.547,97.537,97.545,97.560,97.596,97.655,97.740,97.830,97.911,97.984,98.054,98.120,98.192,98.278,98.378,98.476,98.583,98.686,98.781,98.872,98.967,99.056,99.135,99.217,99.308,99.400,99.491,99.562,99.627,99.684,99.745,99.804,99.870,99.937,100.000,100.067,100.135
2,대구,중구,92.769,93.096,93.468,93.834,94.210,94.531,94.845,95.224,95.490,95.759,95.997,96.225,96.451,96.686,96.906,97.104,97.323,97.438,97.462,97.452,97.428,97.383,97.343,97.347,97.360,97.370,97.378,97.423,97.489,97.569,97.630,97.701,97.773,97.854,97.924,97.998,98.098,98.196,98.297,98.397,98.496,98.590,98.682,98.778,98.871,98.965,99.052,99.147,99.239,99.309,99.388,99.454,99.570,99.673,99.773,99.906,100.000,100.110,100.208
3,대구,동구,93.107,93.398,93.739,94.105,94.464,94.787,95.090,95.386,95.692,95.996,96.274,96.514,96.774,97.001,97.243,97.494,97.679,97.808,97.836,97.832,97.808,97.762,97.711,97.719,97.771,97.786,97.793,97.816,97.895,97.993,98.066,98.145,98.233,98.302,98.398,98.483,98.582,98.684,98.790,98.873,98.950,99.015,99.088,99.157,99.214,99.302,99.401,99.502,99.596,99.669,99.729,99.781,99.822,99.860,99.906,99.955,100.000,100.042,100.083
4,대구,서구,93.848,94.195,94.536,94.869,95.198,95.540,95.894,96.244,96.586,96.836,97.057,97.303,97.576,97.832,98.105,98.348,98.598,98.722,98.754,98.752,98.730,98.702,98.660,98.662,98.670,98.679,98.684,98.694,98.702,98.722,98.752,98.786,98.826,98.863,98.920,98.994,99.077,99.145,99.208,99.262,99.314,99.363,99.406,99.453,99.498,99.546,99.605,99.668,99.730,99.762,99.790,99.820,99.858,99.897,99.934,99.972,100.000,100.025,100.064
5,대구,남구,95.239,95.556,95.828,96.055,96.250,96.431,96.604,96.874,97.078,97.288,97.534,97.771,98.016,98.244,98.452,98.637,98.808,98.937,98.963,98.960,98.934,98.854,98.778,98.762,98.751,98.747,98.756,98.758,98.744,98.756,98.779,98.799,98.841,98.872,98.924,98.973,99.039,99.096,99.147,99.222,99.285,99.359,99.424,99.470,99.512,99.573,99.637,99.708,99.781,99.817,99.851,99.882,99.911,99.941,99.959,99.980,100.000,100.018,100.046
6,대구,북구,93.718,93.955,94.234,94.486,94.745,95.039,95.339,95.723,95.996,96.241,96.505,96.806,97.111,97.407,97.662,97.927,98.093,98.211,98.228,98.223,98.197,98.148,98.106,98.075,98.064,98.067,98.070,98.112,98.199,98.270,98.349,98.408,98.465,98.521,98.560,98.624,98.731,98.810,98.922,99.004,99.093,99.178,99.267,99.359,99.412,99.477,99.539,99.612,99.676,99.730,99.776,99.813,99.852,99.893,99.935,99.970,100.000,100.030,100.085
7,대구,수성구,89.936,90.480,91.024,91.565,92.110,92.572,93.056,93.520,93.905,94.234,94.581,94.934,95.249,95.575,95.922,96.206,96.380,96.521,96.557,96.548,96.522,96.463,96.413,96.374,96.349,96.342,96.406,96.488,96.628,96.750,96.850,96.932,97.000,97.065,97.133,97.234,97.344,97.472,97.620,97.777,97.930,98.077,98.255,98.400,98.549,98.669,98.823,98.946,99.075,99.189,99.303,99.404,99.506,99.608,99.735,99.860,100.000,100.151,100.281
8,대구,달서구,93.693,94.000,94.313,94.636,94.968,95.281,95.654,95.971,96.259,96.558,96.834,97.104,97.368,97.648,97.876,98.072,98.214,98.336,98.368,98.364,98.338,98.267,98.197,98.160,98.146,98.148,98.170,98.237,98.312,98.430,98.505,98.565,98.632,98.694,98.761,98.850,98.933,99.023,99.097,99.165,99.235,99.300,99.360,99.420,99.473,99.523,99.574,99.641,99.723,99.773,99.810,99.842,99.877,99.909,99.942,99.973,100.000,100.026,100.056
9,대구,달성군,94.625,94.866,95.109,95.297,95.493,95.678,95.898,96.173,96.335,96.489,96.706,96.898,97.081,97.252,97.402,97.569,97.704,97.824,97.842,97.831,97.774,97.726,97.756,97.831,97.904,97.993,98.084,98.161,98.227,98.267,98.346,98.426,98.470,98.520,98.585,98.644,98.714,98.778,98.857,98.955,99.014,99.082,99.139,99.212,99.262,99.336,99.414,99.494,99.564,99.623,99.676,99.725,99.781,99.833,99.889,99.947,100.000,100.063,100.128
10,대구,군위군,,,,,,,,,,,,,,,,,,,,,,,,,,,91.620,91.882,92.180,92.505,92.878,93.267,93.658,94.076,94.457,94.857,95.303,95.729,96.125,96.482,96.825,97.038,97.265,97.469,97.692,97.918,98.188,98.429,98.645,98.849,99.025,99.202,99.379,99.547,99.710,99.876,100.000,100.121,100.245
