No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,강원,강원,93.270,93.511,93.756,94.006,94.237,94.468,94.692,94.925,95.116,95.301,95.515,95.728,95.973,96.200,96.416,96.614,96.799,96.955,97.038,97.084,97.098,97.109,97.137,97.171,97.213,97.251,97.292,97.330,97.366,97.410,97.459,97.506,97.539,97.604,97.708,97.812,97.924,98.034,98.177,98.310,98.432,98.562,98.673,98.792,98.883,98.983,99.091,99.199,99.288,99.376,99.462,99.540,99.624,99.706,99.803,99.909,100.000,100.084,100.184
2,강원,시지역,92.358,92.632,92.909,93.192,93.455,93.725,93.972,94.235,94.452,94.664,94.910,95.151,95.437,95.697,95.939,96.160,96.367,96.541,96.626,96.678,96.690,96.707,96.739,96.779,96.828,96.868,96.916,96.963,97.005,97.054,97.111,97.168,97.205,97.276,97.391,97.506,97.635,97.758,97.911,98.052,98.187,98.334,98.463,98.599,98.706,98.819,98.945,99.071,99.176,99.278,99.379,99.470,99.569,99.663,99.774,99.896,100.000,100.098,100.211
3,강원,군지역,94.719,94.911,95.104,95.300,95.478,95.645,95.833,96.019,96.167,96.310,96.472,96.641,96.818,96.992,97.165,97.328,97.476,97.605,97.685,97.722,97.739,97.740,97.763,97.788,97.819,97.852,97.883,97.907,97.934,97.969,98.006,98.037,98.063,98.120,98.207,98.293,98.381,98.469,98.596,98.717,98.818,98.922,99.007,99.097,99.164,99.245,99.323,99.404,99.468,99.534,99.597,99.657,99.716,99.778,99.852,99.931,100.000,100.060,100.136
4,강원,춘천시,92.415,92.685,92.969,93.255,93.518,93.780,94.006,94.263,94.462,94.678,94.930,95.188,95.486,95.763,96.030,96.241,96.441,96.621,96.675,96.721,96.721,96.783,96.822,96.867,96.910,96.950,96.994,97.047,97.090,97.129,97.170,97.211,97.244,97.275,97.377,97.484,97.586,97.684,97.832,97.988,98.135,98.307,98.450,98.615,98.741,98.854,98.988,99.131,99.249,99.357,99.464,99.556,99.635,99.706,99.789,99.908,100.000,100.080,100.190
5,강원,원주시,93.155,93.425,93.685,93.938,94.183,94.438,94.660,94.903,95.097,95.279,95.517,95.739,96.045,96.295,96.512,96.726,96.919,97.095,97.188,97.233,97.238,97.241,97.273,97.322,97.370,97.411,97.454,97.495,97.532,97.583,97.652,97.722,97.762,97.803,97.901,98.000,98.128,98.243,98.388,98.494,98.603,98.726,98.826,98.930,99.004,99.085,99.184,99.274,99.334,99.405,99.465,99.516,99.603,99.683,99.802,99.911,100.000,100.085,100.180
6,강원,강릉시,90.440,90.754,91.047,91.376,91.656,91.969,92.268,92.568,92.848,93.120,93.418,93.720,94.022,94.327,94.617,94.901,95.168,95.366,95.480,95.554,95.591,95.594,95.626,95.654,95.736,95.789,95.850,95.906,95.956,96.025,96.090,96.168,96.207,96.355,96.519,96.674,96.821,96.971,97.118,97.275,97.449,97.627,97.808,97.989,98.146,98.308,98.473,98.642,98.798,98.947,99.106,99.257,99.406,99.550,99.695,99.848,100.000,100.142,100.306
7,강원,동해시,94.448,94.658,94.859,95.034,95.179,95.334,95.490,95.660,95.850,95.964,96.007,96.073,96.223,96.370,96.517,96.674,96.831,96.951,97.021,97.055,97.067,97.029,97.036,97.060,97.086,97.124,97.169,97.204,97.270,97.306,97.367,97.422,97.458,97.556,97.674,97.804,97.923,98.035,98.220,98.412,98.550,98.649,98.747,98.845,98.928,99.031,99.120,99.218,99.304,99.402,99.485,99.574,99.658,99.744,99.827,99.921,100.000,100.073,100.156
8,강원,태백시,97.030,97.170,97.290,97.418,97.543,97.655,97.785,97.925,98.027,98.121,98.249,98.355,98.466,98.583,98.696,98.808,98.898,98.957,99.004,99.045,99.040,99.014,99.002,99.001,98.996,98.987,98.980,98.992,98.991,99.034,99.103,99.092,99.110,99.144,99.178,99.214,99.253,99.294,99.330,99.359,99.393,99.437,99.482,99.529,99.570,99.618,99.675,99.725,99.767,99.805,99.845,99.878,99.899,99.916,99.932,99.969,100.000,100.030,100.072
9,강원,속초시,88.743,89.116,89.608,90.107,90.599,91.066,91.545,92.021,92.372,92.705,93.084,93.457,93.818,94.156,94.486,94.775,95.035,95.223,95.338,95.402,95.438,95.439,95.480,95.510,95.554,95.596,95.661,95.720,95.769,95.816,95.874,95.928,95.969,96.114,96.264,96.417,96.661,96.909,97.128,97.325,97.475,97.632,97.772,97.891,98.005,98.178,98.373,98.543,98.727,98.875,99.044,99.210,99.371,99.521,99.670,99.843,100.000,100.160,100.318
10,강원,삼척시,94.925,95.050,95.195,95.380,95.570,95.730,95.897,96.059,96.204,96.357,96.485,96.577,96.703,96.826,96.930,97.042,97.180,97.298,97.388,97.439,97.461,97.451,97.466,97.487,97.498,97.506,97.534,97.563,97.600,97.617,97.639,97.659,97.703,97.807,97.911,98.004,98.104,98.205,98.393,98.540,98.643,98.766,98.860,98.955,99.019,99.101,99.185,99.279,99.350,99.414,99.484,99.562,99.631,99.748,99.829,99.930,100.000,100.085,100.155
11,강원,홍천군,95.126,95.305,95.478,95.661,95.854,96.020,96.164,96.318,96.452,96.597,96.758,96.928,97.088,97.246,97.425,97.587,97.744,97.900,97.988,98.027,98.046,98.048,98.107,98.136,98.183,98.223,98.270,98.300,98.324,98.346,98.357,98.375,98.391,98.430,98.499,98.569,98.648,98.707,98.836,98.949,99.037,99.144,99.193,99.274,99.341,99.410,99.485,99.560,99.604,99.655,99.700,99.739,99.785,99.836,99.893,99.958,100.000,100.038,100.089
