No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,경북,경북,경북,94.506,94.698,94.878,95.060,95.233,95.384,95.539,95.702,95.858,96.020,96.210,96.397,96.584,96.757,96.919,97.068,97.198,97.313,97.353,97.380,97.355,97.347,97.358,97.387,97.422,97.463,97.522,97.615,97.722,97.837,97.952,98.052,98.149,98.237,98.341,98.456,98.563,98.661,98.758,98.847,98.926,99.006,99.088,99.166,99.236,99.311,99.394,99.480,99.559,99.621,99.678,99.727,99.779,99.832,99.887,99.950,100.000,100.043,100.092
2,경북,시지역,시지역,94.540,94.725,94.898,95.074,95.242,95.388,95.536,95.695,95.850,96.013,96.207,96.396,96.588,96.765,96.925,97.068,97.191,97.299,97.337,97.364,97.331,97.319,97.325,97.353,97.383,97.420,97.484,97.586,97.701,97.826,97.949,98.053,98.155,98.246,98.356,98.475,98.586,98.684,98.781,98.868,98.944,99.022,99.101,99.176,99.240,99.312,99.394,99.479,99.556,99.620,99.677,99.725,99.778,99.831,99.887,99.951,100.000,100.043,100.092
3,경북,군지역,군지역,94.414,94.624,94.826,95.027,95.214,95.382,95.561,95.736,95.892,96.048,96.230,96.407,96.579,96.745,96.908,97.079,97.230,97.364,97.410,97.438,97.435,97.441,97.466,97.500,97.549,97.602,97.644,97.710,97.791,97.872,97.963,98.048,98.130,98.209,98.294,98.396,98.489,98.586,98.685,98.779,98.869,98.953,99.049,99.136,99.223,99.308,99.395,99.485,99.567,99.626,99.682,99.732,99.783,99.833,99.886,99.948,100.000,100.041,100.092
4,경북,포항시,포항시,94.236,94.439,94.633,94.850,95.052,95.154,95.269,95.438,95.591,95.767,95.977,96.193,96.418,96.623,96.808,96.948,97.066,97.146,97.168,97.191,97.092,97.019,96.989,96.995,97.005,97.038,97.141,97.376,97.577,97.738,97.887,98.016,98.142,98.250,98.364,98.485,98.599,98.694,98.803,98.878,98.952,99.033,99.102,99.172,99.231,99.298,99.378,99.449,99.522,99.587,99.646,99.697,99.748,99.808,99.874,99.940,100.000,100.055,100.113
5,경북,포항시,남구,94.391,94.590,94.779,94.990,95.195,95.306,95.417,95.560,95.678,95.858,96.043,96.271,96.483,96.659,96.838,96.971,97.099,97.172,97.193,97.213,97.116,97.048,97.030,97.033,97.042,97.073,97.176,97.400,97.594,97.740,97.891,98.027,98.151,98.264,98.380,98.484,98.585,98.666,98.768,98.840,98.920,99.011,99.085,99.157,99.216,99.283,99.361,99.433,99.514,99.588,99.648,99.695,99.744,99.805,99.878,99.949,100.000,100.052,100.106
6,경북,포항시,북구,94.091,94.298,94.496,94.719,94.918,95.014,95.132,95.324,95.509,95.683,95.914,96.120,96.355,96.588,96.778,96.926,97.033,97.120,97.144,97.170,97.068,96.992,96.951,96.959,96.971,97.006,97.108,97.353,97.562,97.736,97.884,98.006,98.135,98.237,98.350,98.488,98.613,98.721,98.835,98.914,98.982,99.054,99.119,99.187,99.246,99.312,99.394,99.465,99.529,99.586,99.646,99.700,99.753,99.811,99.870,99.932,100.000,100.057,100.119
7,경북,경주시,경주시,94.467,94.639,94.810,94.993,95.196,95.318,95.447,95.595,95.769,95.942,96.186,96.369,96.572,96.752,96.926,97.077,97.208,97.322,97.359,97.390,97.301,97.261,97.256,97.263,97.277,97.308,97.402,97.547,97.664,97.795,97.936,98.022,98.098,98.180,98.264,98.391,98.492,98.584,98.673,98.732,98.789,98.860,98.957,99.034,99.091,99.169,99.261,99.360,99.441,99.512,99.574,99.632,99.687,99.757,99.834,99.930,100.000,100.058,100.131
8,경북,김천시,김천시,94.357,94.494,94.649,94.794,94.939,95.105,95.277,95.455,95.620,95.771,95.950,96.118,96.273,96.410,96.568,96.721,96.853,96.981,97.040,97.086,97.103,97.117,97.138,97.156,97.173,97.190,97.202,97.226,97.304,97.431,97.571,97.692,97.821,97.937,98.069,98.191,98.316,98.436,98.558,98.666,98.751,98.845,98.937,99.031,99.116,99.208,99.307,99.408,99.506,99.598,99.668,99.719,99.775,99.825,99.883,99.943,100.000,100.046,100.096
9,경북,안동시,안동시,94.699,94.845,94.985,95.120,95.261,95.434,95.603,95.789,95.935,96.075,96.230,96.382,96.546,96.680,96.800,96.927,97.054,97.168,97.202,97.194,97.210,97.262,97.336,97.432,97.479,97.514,97.549,97.595,97.637,97.715,97.800,97.890,97.971,98.050,98.149,98.267,98.370,98.469,98.592,98.683,98.781,98.875,98.954,99.034,99.110,99.196,99.279,99.358,99.440,99.510,99.581,99.641,99.707,99.783,99.850,99.930,100.000,100.062,100.130
