No,지역,지역.1,지역.2,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,경기,경기,경기,88.979,89.301,89.631,89.972,90.314,90.642,90.963,91.273,91.563,91.848,92.147,92.456,92.779,93.093,93.391,93.676,93.903,94.030,94.102,94.112,94.097,94.095,94.122,94.157,94.212,94.276,94.344,94.482,94.612,94.770,94.948,95.131,95.304,95.490,95.691,95.899,96.117,96.331,96.547,96.757,96.961,97.166,97.360,97.553,97.729,97.913,98.108,98.307,98.491,98.691,98.886,99.067,99.259,99.445,99.627,99.818,100.000,100.178,100.364
2,경기,시지역,시지역,88.828,89.151,89.484,89.828,90.173,90.505,90.829,91.142,91.434,91.721,92.024,92.335,92.661,92.977,93.277,93.564,93.793,93.921,93.992,94.001,93.987,93.984,94.012,94.049,94.105,94.170,94.240,94.382,94.514,94.677,94.858,95.045,95.222,95.412,95.618,95.828,96.051,96.268,96.488,96.701,96.910,97.118,97.316,97.512,97.691,97.878,98.076,98.278,98.466,98.668,98.867,99.051,99.246,99.436,99.621,99.815,100.000,100.181,100.370
3,경기,군지역,군지역,94.427,94.676,94.919,95.153,95.374,95.587,95.787,95.996,96.199,96.404,96.618,96.843,97.062,97.278,97.486,97.690,97.878,98.011,98.099,98.127,98.114,98.099,98.099,98.105,98.115,98.124,98.125,98.135,98.145,98.167,98.197,98.237,98.265,98.314,98.371,98.467,98.538,98.614,98.697,98.779,98.848,98.917,98.989,99.064,99.121,99.188,99.270,99.357,99.428,99.510,99.587,99.656,99.729,99.796,99.857,99.933,100.000,100.069,100.146
4,경기,수원시,수원시,89.270,89.581,89.909,90.248,90.605,90.966,91.288,91.575,91.826,92.114,92.401,92.697,93.006,93.295,93.577,93.841,94.052,94.141,94.184,94.198,94.181,94.173,94.180,94.188,94.209,94.252,94.316,94.469,94.643,94.835,95.040,95.234,95.451,95.659,95.865,96.064,96.272,96.467,96.669,96.868,97.067,97.263,97.458,97.652,97.834,98.014,98.201,98.382,98.556,98.744,98.933,99.095,99.269,99.458,99.623,99.813,100.000,100.191,100.390
5,경기,수원시,장안구,89.762,90.028,90.286,90.584,90.894,91.230,91.542,91.912,92.192,92.472,92.760,93.111,93.445,93.775,94.102,94.400,94.620,94.636,94.624,94.595,94.577,94.586,94.592,94.601,94.622,94.654,94.685,94.803,94.934,95.042,95.214,95.358,95.538,95.751,95.983,96.170,96.364,96.549,96.745,96.947,97.147,97.322,97.506,97.687,97.854,98.037,98.232,98.439,98.626,98.821,99.007,99.183,99.357,99.526,99.680,99.847,100.000,100.170,100.349
6,경기,수원시,권선구,88.562,88.892,89.218,89.569,89.916,90.271,90.625,90.958,91.219,91.496,91.796,92.090,92.404,92.726,93.048,93.344,93.604,93.722,93.775,93.806,93.818,93.819,93.832,93.844,93.877,93.926,94.003,94.201,94.403,94.619,94.838,95.061,95.337,95.538,95.733,95.930,96.129,96.335,96.542,96.744,96.942,97.149,97.356,97.566,97.766,97.946,98.132,98.286,98.437,98.617,98.817,98.983,99.162,99.363,99.564,99.779,100.000,100.209,100.420
7,경기,수원시,팔달구,89.045,89.371,89.699,90.104,90.536,90.983,91.357,91.614,91.905,92.178,92.457,92.770,93.089,93.399,93.700,93.990,94.242,94.343,94.334,94.323,94.302,94.273,94.273,94.283,94.304,94.332,94.373,94.469,94.604,94.827,95.046,95.269,95.463,95.658,95.848,96.055,96.279,96.497,96.723,96.929,97.123,97.349,97.549,97.764,97.969,98.178,98.391,98.578,98.736,98.900,99.072,99.238,99.400,99.580,99.712,99.858,100.000,100.175,100.348
8,경기,수원시,영통구,89.868,90.178,90.537,90.846,91.191,91.525,91.797,92.016,92.229,92.533,92.806,93.072,93.355,93.582,93.794,94.002,94.145,94.228,94.305,94.335,94.281,94.262,94.259,94.253,94.253,94.300,94.377,94.548,94.744,94.927,95.115,95.305,95.503,95.723,95.923,96.115,96.310,96.501,96.693,96.883,97.089,97.267,97.455,97.628,97.792,97.954,98.121,98.312,98.512,98.721,98.914,99.073,99.257,99.457,99.609,99.810,100.000,100.188,100.398
9,경기,성남시,성남시,86.679,87.018,87.362,87.714,88.088,88.470,88.807,89.154,89.461,89.739,90.047,90.344,90.734,91.095,91.425,91.763,91.977,92.089,92.161,92.124,92.037,92.017,92.038,92.075,92.189,92.289,92.417,92.599,92.780,92.964,93.175,93.396,93.599,93.855,94.156,94.473,94.806,95.136,95.468,95.767,96.057,96.310,96.544,96.732,96.905,97.107,97.308,97.527,97.760,98.058,98.338,98.580,98.890,99.201,99.468,99.727,100.000,100.283,100.550
