No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,경남,경남,경남,95.534,95.699,95.877,96.070,96.252,96.421,96.599,96.769,96.914,97.066,97.254,97.449,97.654,97.855,98.040,98.204,98.336,98.421,98.459,98.469,98.470,98.484,98.505,98.530,98.547,98.570,98.581,98.602,98.623,98.646,98.667,98.695,98.711,98.741,98.792,98.887,98.978,99.080,99.181,99.264,99.336,99.404,99.470,99.532,99.578,99.626,99.676,99.731,99.784,99.835,99.878,99.905,99.919,99.933,99.951,99.976,100.000,100.019,100.037
2,경남,시지역,시지역,95.399,95.563,95.742,95.942,96.130,96.301,96.481,96.653,96.795,96.946,97.136,97.333,97.547,97.754,97.944,98.112,98.244,98.325,98.355,98.355,98.353,98.366,98.386,98.412,98.429,98.453,98.464,98.485,98.507,98.532,98.552,98.582,98.597,98.628,98.681,98.783,98.881,98.994,99.103,99.192,99.268,99.338,99.408,99.473,99.521,99.572,99.624,99.683,99.742,99.798,99.847,99.878,99.899,99.919,99.941,99.970,100.000,100.024,100.048
3,경남,군지역,군지역,96.177,96.351,96.521,96.677,96.825,96.988,97.153,97.323,97.477,97.631,97.814,97.992,98.160,98.325,98.483,98.631,98.761,98.867,98.950,99.004,99.023,99.042,99.068,99.087,99.106,99.121,99.135,99.155,99.173,99.190,99.210,99.232,99.255,99.281,99.321,99.380,99.437,99.494,99.551,99.604,99.657,99.712,99.762,99.814,99.848,99.881,99.920,99.955,99.985,100.009,100.024,100.031,100.013,99.999,99.995,100.000,100.000,99.996,99.984
4,경남,창원시,창원시,95.582,95.757,95.967,96.169,96.387,96.589,96.798,97.008,97.185,97.351,97.559,97.766,97.984,98.207,98.423,98.623,98.777,98.867,98.916,98.884,98.867,98.890,98.915,98.970,98.991,99.012,99.013,99.018,99.040,99.078,99.111,99.153,99.185,99.235,99.298,99.399,99.492,99.571,99.635,99.681,99.741,99.792,99.845,99.889,99.912,99.921,99.946,99.978,100.004,100.023,100.042,100.033,100.006,99.994,99.984,99.991,100.000,100.006,100.010
5,경남,창원시,의창구,96.734,96.907,97.143,97.338,97.585,97.773,97.948,98.160,98.332,98.499,98.710,98.920,99.149,99.381,99.550,99.733,99.885,99.964,99.992,99.930,99.956,100.137,100.262,100.343,100.364,100.386,100.312,100.263,100.212,100.162,100.121,100.104,100.071,100.097,100.133,100.235,100.264,100.318,100.364,100.390,100.429,100.473,100.512,100.555,100.536,100.505,100.514,100.517,100.504,100.453,100.431,100.350,100.252,100.130,100.033,100.022,100.000,99.980,99.962
6,경남,창원시,성산구,94.482,94.653,94.900,95.130,95.380,95.621,95.876,96.125,96.339,96.526,96.749,96.949,97.162,97.388,97.630,97.811,97.961,98.047,98.081,98.045,98.031,98.030,98.028,98.075,98.092,98.117,98.150,98.183,98.262,98.388,98.453,98.520,98.581,98.674,98.776,98.899,99.074,99.192,99.257,99.305,99.373,99.419,99.477,99.514,99.552,99.567,99.597,99.636,99.674,99.711,99.757,99.800,99.845,99.886,99.921,99.953,100.000,100.046,100.087
7,경남,창원시,마산합포구,96.188,96.357,96.566,96.760,96.953,97.152,97.383,97.576,97.753,97.930,98.128,98.323,98.548,98.760,98.971,99.169,99.289,99.370,99.432,99.425,99.365,99.308,99.305,99.334,99.349,99.358,99.363,99.363,99.373,99.393,99.451,99.527,99.580,99.612,99.654,99.726,99.768,99.786,99.815,99.837,99.872,99.915,99.959,99.989,100.015,100.005,100.003,100.006,100.009,100.013,100.003,99.966,99.881,99.915,99.964,99.992,100.000,99.995,99.975
8,경남,창원시,마산회원구,96.381,96.592,96.786,96.985,97.154,97.335,97.521,97.699,97.801,97.918,98.121,98.320,98.526,98.712,98.918,99.115,99.268,99.353,99.405,99.402,99.359,99.310,99.291,99.297,99.299,99.305,99.308,99.321,99.333,99.362,99.425,99.501,99.536,99.569,99.605,99.641,99.685,99.730,99.773,99.812,99.848,99.896,99.935,99.976,100.000,100.013,100.024,100.047,100.068,100.088,100.095,100.058,100.025,100.012,100.009,100.004,100.000,99.993,99.989
9,경남,창원시,진해구,95.763,95.936,96.081,96.233,96.395,96.560,96.706,96.855,97.013,97.159,97.335,97.542,97.748,97.978,98.185,98.367,98.505,98.596,98.654,98.630,98.590,98.553,98.534,98.594,98.632,98.651,98.674,98.692,98.707,98.730,98.762,98.789,98.828,98.862,98.906,99.005,99.094,99.198,99.319,99.408,99.507,99.566,99.631,99.690,99.729,99.781,99.840,99.916,99.975,100.028,100.070,100.086,100.063,100.056,100.036,100.011,100.000,99.985,99.979
