No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,인천,인천,91.692,91.977,92.289,92.647,93.006,93.344,93.678,93.994,94.272,94.543,94.843,95.117,95.398,95.657,95.911,96.153,96.321,96.374,96.292,96.221,96.188,96.173,96.188,96.225,96.306,96.381,96.462,96.554,96.636,96.745,96.876,97.006,97.147,97.283,97.435,97.599,97.753,97.933,98.129,98.317,98.456,98.588,98.701,98.792,98.875,98.946,99.027,99.122,99.197,99.274,99.339,99.439,99.534,99.644,99.771,99.897,100.000,100.098,100.220
2,인천,중구,92.173,92.430,92.684,92.954,93.214,93.475,93.748,94.009,94.229,94.454,94.724,95.030,95.335,95.594,95.857,96.135,96.319,96.376,96.368,96.327,96.293,96.272,96.285,96.319,96.421,96.491,96.567,96.666,96.782,96.921,97.085,97.226,97.341,97.470,97.590,97.722,97.868,98.041,98.218,98.395,98.583,98.742,98.880,98.981,99.081,99.139,99.204,99.285,99.358,99.416,99.460,99.575,99.653,99.736,99.824,99.884,100.000,100.098,100.164
3,인천,동구,93.784,94.016,94.347,94.671,94.951,95.187,95.444,95.701,95.919,96.134,96.410,96.626,96.874,97.126,97.389,97.646,97.852,97.892,97.848,97.721,97.643,97.601,97.616,97.626,97.657,97.701,97.726,97.787,97.860,97.959,98.090,98.201,98.293,98.389,98.488,98.587,98.684,98.800,98.900,98.995,99.058,99.155,99.261,99.346,99.413,99.450,99.483,99.522,99.566,99.609,99.656,99.709,99.772,99.826,99.879,99.938,100.000,100.061,100.126
4,인천,남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,인천,미추홀구,92.229,92.497,92.797,93.199,93.620,94.030,94.445,94.848,95.153,95.463,95.772,96.082,96.368,96.645,96.900,97.150,97.325,97.276,97.136,96.988,96.896,96.858,96.876,96.936,97.026,97.125,97.212,97.297,97.361,97.430,97.499,97.567,97.656,97.754,97.862,97.984,98.097,98.216,98.343,98.470,98.589,98.708,98.838,98.950,99.065,99.136,99.198,99.268,99.328,99.389,99.448,99.538,99.621,99.698,99.802,99.899,100.000,100.070,100.172
6,인천,연수구,91.483,91.713,92.037,92.428,92.817,93.190,93.559,93.911,94.196,94.478,94.762,94.973,95.166,95.351,95.559,95.746,95.841,95.874,95.768,95.714,95.706,95.702,95.712,95.738,95.817,95.894,95.969,96.060,96.132,96.214,96.299,96.369,96.619,96.850,97.121,97.382,97.650,97.926,98.218,98.464,98.624,98.753,98.827,98.898,98.997,99.041,99.105,99.178,99.238,99.302,99.362,99.432,99.531,99.613,99.719,99.894,100.000,100.109,100.205
7,인천,남동구,91.907,92.226,92.531,92.906,93.283,93.637,93.956,94.289,94.593,94.878,95.155,95.437,95.708,95.988,96.239,96.478,96.655,96.685,96.594,96.561,96.519,96.481,96.501,96.563,96.657,96.761,96.849,96.942,97.038,97.143,97.250,97.360,97.472,97.570,97.710,97.845,97.994,98.132,98.283,98.424,98.575,98.699,98.827,98.933,99.016,99.067,99.166,99.275,99.362,99.452,99.502,99.561,99.635,99.725,99.824,99.929,100.000,100.117,100.222
8,인천,부평구,92.121,92.453,92.782,93.114,93.449,93.785,94.102,94.404,94.690,94.956,95.269,95.581,95.914,96.201,96.458,96.722,96.946,96.910,96.737,96.681,96.644,96.616,96.637,96.682,96.720,96.760,96.787,96.857,96.972,97.086,97.200,97.389,97.500,97.638,97.758,97.892,97.995,98.094,98.289,98.472,98.609,98.731,98.833,98.927,99.000,99.060,99.124,99.207,99.280,99.352,99.417,99.513,99.608,99.706,99.821,99.917,100.000,100.093,100.199
9,인천,계양구,92.331,92.806,93.195,93.563,93.916,94.276,94.644,95.020,95.308,95.581,95.870,96.142,96.440,96.713,96.964,97.204,97.353,97.465,97.358,97.308,97.288,97.269,97.278,97.294,97.344,97.383,97.447,97.508,97.559,97.632,97.704,97.784,97.857,97.933,98.031,98.139,98.234,98.346,98.457,98.569,98.659,98.786,98.856,98.925,98.997,99.064,99.135,99.204,99.283,99.359,99.433,99.514,99.606,99.709,99.817,99.917,100.000,100.086,100.177
