No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,전북,전북,전북,95.322,95.520,95.709,95.900,96.094,96.291,96.496,96.725,96.918,97.114,97.335,97.552,97.773,97.986,98.186,98.369,98.524,98.679,98.785,98.830,98.800,98.784,98.781,98.773,98.760,98.751,98.744,98.765,98.836,98.954,99.011,99.075,99.124,99.152,99.208,99.265,99.315,99.349,99.392,99.439,99.461,99.502,99.527,99.557,99.573,99.610,99.682,99.745,99.793,99.825,99.835,99.844,99.896,99.913,99.938,99.972,100.000,100.036,100.087
2,전북,시지역,시지역,95.319,95.510,95.691,95.878,96.067,96.264,96.467,96.692,96.880,97.070,97.288,97.501,97.719,97.931,98.129,98.305,98.454,98.606,98.713,98.760,98.726,98.706,98.695,98.685,98.668,98.651,98.640,98.670,98.757,98.885,98.931,98.983,99.035,99.066,99.124,99.179,99.228,99.259,99.298,99.351,99.373,99.422,99.449,99.476,99.498,99.539,99.623,99.696,99.751,99.792,99.807,99.818,99.880,99.900,99.928,99.968,100.000,100.043,100.099
3,전북,군지역,군지역,95.324,95.544,95.759,95.962,96.167,96.365,96.574,96.819,97.024,97.240,97.467,97.695,97.926,98.142,98.347,98.549,98.720,98.887,98.990,99.029,99.012,99.003,99.023,99.024,99.022,99.035,99.037,99.034,99.058,99.149,99.238,99.335,99.375,99.396,99.443,99.510,99.562,99.602,99.656,99.689,99.710,99.729,99.750,99.790,99.785,99.813,99.849,99.884,99.913,99.921,99.916,99.919,99.940,99.951,99.966,99.985,100.000,100.014,100.055
4,전북,전주시,전주시,94.610,94.846,95.063,95.269,95.478,95.693,95.923,96.193,96.403,96.619,96.864,97.101,97.343,97.576,97.792,97.978,98.125,98.273,98.369,98.423,98.412,98.420,98.422,98.432,98.435,98.448,98.440,98.435,98.436,98.550,98.522,98.539,98.573,98.586,98.647,98.681,98.708,98.736,98.761,98.827,98.887,98.954,98.997,99.053,99.107,99.201,99.310,99.412,99.506,99.592,99.640,99.687,99.765,99.810,99.861,99.945,100.000,100.042,100.104
5,전북,전주시,완산구,95.161,95.384,95.599,95.811,96.037,96.273,96.514,96.767,96.989,97.201,97.441,97.685,97.938,98.182,98.412,98.609,98.751,98.909,99.004,99.034,99.024,99.022,99.024,99.029,99.033,99.038,99.040,99.025,99.016,99.052,99.054,99.049,99.060,99.062,99.132,99.173,99.203,99.230,99.258,99.274,99.292,99.309,99.312,99.313,99.348,99.417,99.497,99.547,99.569,99.644,99.706,99.761,99.816,99.855,99.895,99.955,100.000,100.040,100.081
6,전북,전주시,덕진구,94.057,94.306,94.526,94.726,94.920,95.120,95.341,95.627,95.829,96.049,96.299,96.533,96.767,96.990,97.197,97.372,97.524,97.665,97.760,97.836,97.826,97.842,97.844,97.859,97.861,97.881,97.865,97.869,97.879,98.066,98.013,98.052,98.105,98.128,98.182,98.211,98.236,98.263,98.288,98.398,98.497,98.610,98.690,98.797,98.868,98.988,99.124,99.274,99.434,99.534,99.570,99.611,99.712,99.763,99.826,99.935,100.000,100.044,100.127
7,전북,군산시,군산시,95.684,95.813,95.950,96.107,96.256,96.407,96.562,96.758,96.908,97.052,97.234,97.411,97.619,97.809,97.975,98.140,98.294,98.440,98.546,98.591,98.491,98.420,98.372,98.330,98.290,98.239,98.238,98.336,98.601,98.847,98.979,99.077,99.158,99.200,99.272,99.362,99.442,99.465,99.524,99.573,99.617,99.697,99.723,99.750,99.740,99.713,99.803,99.902,99.985,100.010,100.022,100.002,100.076,100.028,100.008,99.978,100.000,100.101,100.203
8,전북,익산시,익산시,95.732,95.908,96.073,96.264,96.488,96.722,96.949,97.143,97.333,97.523,97.742,97.954,98.141,98.342,98.534,98.683,98.819,98.971,99.105,99.163,99.117,99.079,99.062,99.038,99.006,98.992,98.988,99.003,99.077,99.184,99.286,99.377,99.464,99.517,99.580,99.638,99.708,99.742,99.774,99.809,99.758,99.772,99.782,99.762,99.773,99.801,99.860,99.877,99.863,99.844,99.830,99.819,99.887,99.920,99.955,99.985,100.000,100.019,100.042
9,전북,정읍시,정읍시,96.099,96.304,96.504,96.708,96.903,97.100,97.297,97.497,97.685,97.875,98.070,98.270,98.466,98.655,98.845,99.023,99.179,99.332,99.419,99.443,99.440,99.441,99.449,99.460,99.435,99.358,99.302,99.312,99.373,99.394,99.407,99.457,99.472,99.537,99.564,99.592,99.602,99.625,99.689,99.745,99.748,99.750,99.744,99.740,99.741,99.763,99.793,99.828,99.837,99.849,99.848,99.853,99.844,99.874,99.924,99.975,100.000,99.993,100.003
