No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,전남,전남,93.849,94.130,94.422,94.718,94.998,95.271,95.555,95.842,96.115,96.395,96.691,96.979,97.265,97.552,97.817,98.066,98.258,98.404,98.417,98.402,98.384,98.373,98.369,98.375,98.379,98.380,98.384,98.394,98.420,98.521,98.629,98.715,98.813,98.900,99.012,99.123,99.220,99.305,99.392,99.469,99.537,99.617,99.698,99.776,99.840,99.893,99.914,99.924,99.922,99.917,99.912,99.908,99.907,99.919,99.934,99.968,100.000,100.035,100.079
2,전남,시지역,93.293,93.593,93.921,94.251,94.564,94.862,95.174,95.491,95.803,96.118,96.450,96.772,97.090,97.412,97.705,97.976,98.204,98.358,98.360,98.333,98.308,98.290,98.284,98.294,98.305,98.308,98.317,98.332,98.367,98.492,98.620,98.722,98.833,98.930,99.061,99.186,99.305,99.407,99.507,99.595,99.674,99.761,99.851,99.935,100.007,100.070,100.098,100.117,100.120,100.117,100.112,100.095,100.068,100.034,100.010,100.004,100.000,100.002,100.013
3,전남,군지역,94.488,94.745,94.997,95.252,95.497,95.740,95.992,96.244,96.474,96.713,96.968,97.217,97.465,97.710,97.943,98.168,98.320,98.454,98.481,98.479,98.468,98.465,98.464,98.465,98.462,98.461,98.459,98.462,98.479,98.551,98.637,98.704,98.787,98.863,98.955,99.049,99.121,99.187,99.258,99.323,99.379,99.450,99.521,99.591,99.647,99.689,99.702,99.701,99.694,99.687,99.683,99.692,99.722,99.786,99.846,99.926,100.000,100.073,100.155
4,전남,목포시,95.234,95.453,95.731,95.992,96.199,96.361,96.516,96.636,96.752,96.934,97.150,97.346,97.548,97.786,97.972,98.145,98.290,98.404,98.364,98.355,98.341,98.340,98.342,98.337,98.343,98.344,98.395,98.426,98.455,98.543,98.642,98.717,98.786,98.852,98.932,99.001,99.080,99.153,99.227,99.290,99.375,99.484,99.570,99.636,99.715,99.796,99.839,99.882,99.913,99.902,99.889,99.880,99.890,99.916,99.936,99.954,100.000,100.035,100.082
5,전남,여수시,91.956,92.310,92.710,93.136,93.540,93.930,94.337,94.759,95.151,95.539,95.935,96.326,96.716,97.097,97.464,97.801,98.091,98.284,98.329,98.282,98.239,98.206,98.191,98.212,98.224,98.229,98.242,98.268,98.328,98.466,98.637,98.775,98.899,99.012,99.155,99.301,99.428,99.539,99.658,99.757,99.841,99.940,100.037,100.130,100.213,100.289,100.319,100.320,100.307,100.299,100.291,100.265,100.195,100.140,100.078,100.044,100.000,99.968,99.956
6,전남,순천시,92.978,93.274,93.603,93.898,94.196,94.486,94.804,95.109,95.425,95.728,96.081,96.407,96.711,97.012,97.303,97.577,97.806,97.971,97.968,97.956,97.938,97.918,97.908,97.922,97.937,97.947,97.952,97.976,97.996,98.146,98.284,98.410,98.510,98.608,98.756,98.889,99.059,99.182,99.280,99.379,99.474,99.571,99.691,99.801,99.884,99.959,100.016,100.076,100.109,100.132,100.136,100.129,100.107,100.045,100.026,100.010,100.000,99.996,100.006
7,전남,나주시,94.316,94.599,94.884,95.162,95.436,95.688,95.957,96.241,96.497,96.767,97.047,97.322,97.615,97.900,98.158,98.376,98.529,98.631,98.579,98.547,98.527,98.516,98.515,98.514,98.504,98.496,98.485,98.466,98.476,98.623,98.716,98.767,98.889,98.977,99.086,99.184,99.275,99.360,99.429,99.488,99.542,99.593,99.663,99.731,99.779,99.807,99.796,99.786,99.770,99.752,99.773,99.797,99.846,99.870,99.892,99.952,100.000,100.054,100.125
8,전남,광양시,93.701,93.990,94.274,94.554,94.836,95.112,95.396,95.701,96.031,96.357,96.672,96.994,97.305,97.635,97.909,98.168,98.405,98.559,98.573,98.555,98.540,98.532,98.533,98.544,98.567,98.570,98.575,98.585,98.627,98.708,98.806,98.892,99.004,99.103,99.239,99.378,99.476,99.572,99.690,99.786,99.862,99.939,100.012,100.077,100.139,100.193,100.217,100.232,100.230,100.226,100.204,100.160,100.120,100.068,100.035,100.009,100.000,99.997,99.975
9,전남,담양군,93.822,94.154,94.491,94.808,95.109,95.410,95.696,95.974,96.201,96.465,96.754,97.047,97.341,97.648,97.923,98.182,98.328,98.456,98.454,98.453,98.428,98.453,98.457,98.458,98.446,98.453,98.455,98.475,98.495,98.593,98.694,98.798,98.891,98.983,99.109,99.224,99.320,99.387,99.477,99.548,99.609,99.686,99.736,99.796,99.841,99.873,99.883,99.848,99.832,99.821,99.818,99.842,99.862,99.898,99.927,99.959,100.000,100.030,100.070
10,전남,곡성군,96.040,96.243,96.436,96.627,96.816,97.008,97.191,97.372,97.551,97.728,97.940,98.149,98.357,98.560,98.750,98.934,99.056,99.158,99.184,99.188,99.184,99.183,99.182,99.179,99.177,99.174,99.170,99.188,99.203,99.295,99.314,99.336,99.382,99.422,99.472,99.527,99.565,99.619,99.663,99.686,99.725,99.765,99.809,99.847,99.867,99.894,99.914,99.933,99.952,99.969,99.966,99.956,99.950,99.958,99.965,99.984,100.000,100.020,100.045
11,전남,구례군,94.684,94.946,95.204,95.468,95.735,96.005,96.279,96.560,96.843,97.113,97.376,97.654,97.929,98.181,98.425,98.652,98.846,98.993,99.029,99.024,99.013,99.003,98.999,99.010,99.014,99.016,99.004,99.025,99.034,99.065,99.132,99.159,99.192,99.238,99.298,99.348,99.413,99.459,99.502,99.545,99.583,99.636,99.696,99.747,99.791,99.844,99.883,99.893,99.906,99.923,99.927,99.913,99.959,99.998,100.038,100.011,100.000,99.979,99.980
12,전남,고흥군,94.251,94.506,94.765,95.023,95.278,95.538,95.827,96.128,96.398,96.672,96.958,97.241,97.520,97.805,98.074,98.333,98.548,98.723,98.767,98.765,98.759,98.753,98.764,98.801,98.817,98.842,98.854,98.873,98.883,98.910,98.927,98.942,99.027,99.089,99.188,99.314,99.392,99.435,99.494,99.542,99.588,99.657,99.729,99.804,99.853,99.918,99.964,100.009,100.036,100.068,100.094,100.076,100.044,100.022,100.014,100.013,100.000,99.998,100.016
