No,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,서울,서울,86.486,86.877,87.258,87.636,88.027,88.407,88.786,89.157,89.485,89.796,90.118,90.459,90.834,91.201,91.550,91.864,92.052,92.056,91.975,91.889,91.823,91.783,91.776,91.772,91.821,91.881,91.964,92.096,92.285,92.517,92.727,92.906,93.052,93.199,93.410,93.632,93.863,94.116,94.381,94.648,94.936,95.232,95.524,95.786,96.037,96.272,96.548,96.827,97.116,97.444,97.769,98.121,98.485,98.868,99.251,99.634,100.000,100.342,100.725
2,서울,종로구,87.619,87.985,88.372,88.750,89.124,89.473,89.835,90.197,90.513,90.822,91.149,91.525,91.964,92.401,92.848,93.192,93.402,93.382,93.185,92.944,92.800,92.676,92.601,92.578,92.601,92.630,92.672,92.771,92.989,93.263,93.505,93.716,93.868,94.040,94.235,94.479,94.738,95.000,95.254,95.519,95.797,96.027,96.227,96.393,96.574,96.745,96.964,97.224,97.469,97.701,97.954,98.160,98.450,98.825,99.231,99.682,100.000,100.294,100.692
3,서울,중구,88.939,89.324,89.715,90.102,90.449,90.805,91.147,91.422,91.635,91.823,92.043,92.321,92.680,93.053,93.402,93.664,93.896,93.865,93.736,93.585,93.474,93.390,93.348,93.301,93.311,93.340,93.382,93.476,93.614,93.811,94.003,94.182,94.325,94.465,94.636,94.820,95.001,95.189,95.386,95.613,95.820,96.039,96.242,96.438,96.633,96.838,97.046,97.259,97.492,97.719,97.964,98.196,98.486,98.897,99.302,99.668,100.000,100.308,100.719
4,서울,용산구,83.774,84.144,84.519,84.919,85.316,85.676,86.039,86.426,86.729,87.008,87.288,87.638,88.037,88.447,88.904,89.305,89.519,89.527,89.414,89.240,89.147,89.195,89.247,89.292,89.341,89.402,89.461,89.623,89.783,90.012,90.261,90.465,90.633,90.869,91.079,91.323,91.585,91.882,92.161,92.493,92.845,93.199,93.488,93.783,94.061,94.399,94.819,95.257,95.649,96.233,96.801,97.398,98.114,98.605,99.094,99.547,100.000,100.400,100.850
5,서울,성동구,83.846,84.239,84.652,85.074,85.520,85.958,86.466,86.988,87.431,87.817,88.233,88.659,89.101,89.549,89.994,90.426,90.780,90.902,90.920,90.927,90.929,90.930,90.974,91.017,91.093,91.172,91.258,91.378,91.562,91.837,92.055,92.242,92.410,92.560,92.747,92.943,93.159,93.391,93.644,93.901,94.165,94.424,94.737,95.014,95.270,95.520,95.863,96.219,96.581,96.916,97.274,97.682,98.154,98.644,99.140,99.616,100.000,100.389,100.806
6,서울,광진구,88.617,89.016,89.404,89.774,90.158,90.524,90.864,91.201,91.492,91.777,92.071,92.410,92.760,93.089,93.411,93.712,93.853,93.788,93.690,93.555,93.485,93.418,93.370,93.327,93.325,93.341,93.390,93.490,93.629,93.829,94.017,94.192,94.323,94.459,94.583,94.746,94.907,95.066,95.220,95.427,95.682,95.918,96.180,96.408,96.605,96.808,97.049,97.311,97.560,97.846,98.126,98.417,98.706,99.047,99.364,99.698,100.000,100.338,100.685
7,서울,동대문구,88.086,88.482,88.883,89.240,89.615,89.985,90.408,90.792,91.156,91.449,91.742,92.136,92.537,92.942,93.327,93.649,93.773,93.684,93.461,93.276,93.101,92.959,92.860,92.777,92.758,92.767,92.826,92.960,93.188,93.478,93.696,93.883,94.023,94.154,94.333,94.526,94.738,95.002,95.307,95.573,95.811,96.042,96.262,96.487,96.685,96.893,97.086,97.337,97.585,97.836,98.099,98.355,98.619,98.964,99.303,99.661,100.000,100.345,100.697
8,서울,중랑구,90.737,91.069,91.398,91.718,92.038,92.355,92.672,92.962,93.207,93.472,93.739,94.027,94.329,94.628,94.937,95.219,95.312,95.234,95.109,95.010,94.855,94.736,94.621,94.526,94.496,94.505,94.548,94.643,94.828,95.063,95.264,95.451,95.575,95.694,95.815,95.943,96.118,96.299,96.483,96.660,96.863,97.074,97.287,97.492,97.687,97.886,98.081,98.280,98.477,98.669,98.875,99.074,99.268,99.469,99.644,99.826,100.000,100.175,100.347
9,서울,성북구,90.754,91.103,91.445,91.806,92.164,92.496,92.846,93.194,93.474,93.753,94.044,94.360,94.692,95.033,95.367,95.659,95.704,95.603,95.253,95.007,94.789,94.631,94.546,94.454,94.400,94.402,94.431,94.570,94.693,94.890,95.077,95.248,95.382,95.520,95.669,95.840,96.014,96.198,96.403,96.607,96.803,96.986,97.169,97.347,97.511,97.674,97.848,98.020,98.199,98.392,98.577,98.757,98.986,99.273,99.543,99.771,100.000,100.260,100.642
10,서울,강북구,92.383,92.770,93.101,93.482,93.825,94.092,94.293,94.491,94.686,94.868,95.068,95.317,95.599,95.895,96.167,96.409,96.463,96.350,96.251,96.130,96.043,95.942,95.834,95.707,95.650,95.631,95.667,95.761,95.907,96.096,96.275,96.430,96.554,96.670,96.787,96.926,97.068,97.224,97.378,97.520,97.668,97.819,97.961,98.112,98.254,98.393,98.524,98.666,98.798,98.942,99.094,99.234,99.395,99.549,99.700,99.856,100.000,100.141,100.279
11,서울,도봉구,92.443,92.772,93.138,93.442,93.744,94.005,94.305,94.591,94.827,95.062,95.313,95.550,95.816,96.048,96.274,96.498,96.578,96.487,96.378,96.274,96.173,96.069,95.970,95.854,95.745,95.734,95.756,95.813,95.924,96.136,96.314,96.469,96.591,96.706,96.822,96.956,97.089,97.245,97.402,97.548,97.672,97.793,97.916,98.065,98.193,98.325,98.454,98.609,98.754,98.889,99.037,99.181,99.330,99.508,99.671,99.838,100.000,100.167,100.335
12,서울,노원구,92.039,92.393,92.752,93.104,93.464,93.731,93.994,94.195,94.394,94.586,94.784,95.031,95.290,95.543,95.799,96.026,96.123,96.048,95.955,95.848,95.771,95.686,95.580,95.454,95.390,95.381,95.411,95.472,95.652,95.858,96.042,96.226,96.356,96.479,96.601,96.723,96.868,97.020,97.175,97.337,97.502,97.664,97.828,97.990,98.120,98.268,98.418,98.576,98.725,98.869,99.024,99.168,99.327,99.513,99.672,99.833,100.000,100.167,100.326
13,서울,은평구,90.598,91.022,91.368,91.754,92.105,92.454,92.804,93.130,93.420,93.756,94.018,94.328,94.655,94.989,95.331,95.615,95.651,95.587,95.197,94.966,94.775,94.637,94.600,94.548,94.521,94.530,94.564,94.696,94.892,95.064,95.221,95.378,95.507,95.622,95.777,95.954,96.124,96.316,96.542,96.763,96.957,97.140,97.324,97.484,97.617,97.766,97.922,98.083,98.254,98.472,98.647,98.833,99.061,99.309,99.548,99.769,100.000,100.213,100.514
14,서울,서대문구,90.206,90.571,90.926,91.269,91.600,91.951,92.310,92.630,92.917,93.240,93.542,93.856,94.174,94.509,94.810,95.106,95.201,95.150,94.852,94.574,94.327,94.188,94.087,94.029,93.993,93.994,94.008,94.107,94.303,94.504,94.680,94.853,94.990,95.103,95.256,95.449,95.636,95.861,96.112,96.366,96.609,96.822,97.003,97.146,97.291,97.438,97.589,97.766,97.954,98.161,98.353,98.570,98.818,99.123,99.421,99.707,100.000,100.305,100.711
15,서울,마포구,86.421,86.802,87.200,87.595,88.004,88.401,88.818,89.227,89.568,89.861,90.179,90.503,90.866,91.251,91.625,91.961,92.056,92.058,91.994,91.927,91.874,91.851,91.831,91.790,91.802,91.845,91.897,91.993,92.201,92.400,92.594,92.769,92.915,93.057,93.245,93.458,93.673,93.894,94.156,94.384,94.662,94.911,95.192,95.460,95.661,95.874,96.083,96.377,96.652,96.979,97.253,97.697,98.252,98.770,99.245,99.624,100.000,100.354,100.745
16,서울,양천구,89.082,89.451,89.804,90.165,90.503,90.842,91.183,91.527,91.823,92.100,92.404,92.723,93.072,93.399,93.721,94.015,94.184,94.186,94.059,93.817,93.635,93.524,93.457,93.399,93.375,93.379,93.434,93.557,93.755,94.021,94.257,94.429,94.579,94.746,94.925,95.088,95.269,95.488,95.720,95.948,96.143,96.341,96.559,96.774,96.953,97.135,97.307,97.493,97.715,97.970,98.217,98.481,98.749,99.060,99.393,99.701,100.000,100.292,100.623
17,서울,강서구,89.510,89.861,90.205,90.568,90.963,91.386,91.821,92.248,92.600,92.940,93.282,93.617,93.965,94.310,94.646,94.956,95.166,95.146,94.965,94.768,94.590,94.458,94.374,94.303,94.265,94.254,94.295,94.390,94.561,94.817,95.052,95.245,95.372,95.546,95.699,95.838,96.004,96.189,96.382,96.597,96.803,97.024,97.231,97.428,97.615,97.792,97.968,98.149,98.325,98.503,98.691,98.885,99.095,99.320,99.538,99.763,100.000,100.237,100.514
18,서울,구로구,91.617,91.931,92.243,92.557,92.907,93.233,93.542,93.835,94.126,94.409,94.711,95.014,95.323,95.648,95.975,96.277,96.449,96.388,96.211,96.020,95.849,95.731,95.651,95.579,95.547,95.525,95.554,95.649,95.806,96.034,96.210,96.338,96.435,96.545,96.668,96.786,96.920,97.066,97.210,97.346,97.467,97.592,97.709,97.820,97.936,98.061,98.182,98.302,98.427,98.585,98.739,98.919,99.117,99.356,99.583,99.796,100.000,100.211,100.453
19,서울,금천구,90.776,91.067,91.351,91.665,91.994,92.362,92.750,93.119,93.495,93.853,94.221,94.596,94.965,95.328,95.683,96.026,96.248,96.241,96.143,96.029,95.908,95.811,95.735,95.667,95.630,95.614,95.638,95.743,95.932,96.154,96.347,96.535,96.638,96.758,96.888,97.021,97.147,97.293,97.426,97.557,97.681,97.799,97.902,97.991,98.096,98.226,98.344,98.476,98.592,98.730,98.895,99.050,99.225,99.427,99.615,99.809,100.000,100.201,100.398
20,서울,영등포구,86.828,87.188,87.539,87.911,88.369,88.827,89.275,89.731,90.117,90.478,90.838,91.194,91.565,91.931,92.289,92.642,92.853,92.854,92.823,92.717,92.622,92.553,92.512,92.485,92.475,92.483,92.548,92.688,92.882,93.101,93.314,93.510,93.680,93.857,94.049,94.247,94.468,94.704,94.941,95.182,95.407,95.661,95.913,96.142,96.349,96.569,96.796,97.045,97.307,97.572,97.866,98.156,98.468,98.846,99.220,99.607,100.000,100.412,100.801
21,서울,동작구,88.754,89.217,89.643,90.011,90.197,90.395,90.596,90.759,91.023,91.266,91.536,91.801,92.087,92.400,92.689,92.976,93.174,93.151,93.060,92.989,92.940,92.910,92.904,92.946,93.114,93.238,93.337,93.434,93.551,93.743,93.930,94.092,94.219,94.344,94.533,94.741,94.947,95.158,95.395,95.646,95.863,96.048,96.200,96.370,96.529,96.704,96.947,97.216,97.477,97.731,97.983,98.234,98.500,98.841,99.225,99.618,100.000,100.378,100.771
22,서울,관악구,90.437,90.804,91.174,91.591,92.038,92.449,92.842,93.221,93.605,93.951,94.286,94.643,95.032,95.413,95.780,96.120,96.286,96.206,95.925,95.685,95.490,95.375,95.310,95.254,95.228,95.236,95.288,95.383,95.516,95.765,95.989,96.195,96.294,96.414,96.549,96.686,96.889,97.044,97.192,97.332,97.452,97.572,97.707,97.838,97.966,98.089,98.221,98.359,98.514,98.661,98.812,98.971,99.138,99.313,99.507,99.727,100.000,100.280,100.571
23,서울,서초구,83.463,83.857,84.256,84.655,85.063,85.498,85.908,86.329,86.728,87.108,87.498,87.877,88.270,88.679,89.051,89.400,89.636,89.706,89.741,89.767,89.775,89.780,89.799,89.819,89.854,89.910,89.977,90.121,90.316,90.579,90.825,91.014,91.163,91.308,91.586,91.876,92.152,92.476,92.808,93.136,93.510,93.895,94.257,94.657,95.043,95.382,95.755,96.099,96.485,96.866,97.294,97.724,98.171,98.599,99.094,99.573,100.000,100.413,100.827
24,서울,강남구,80.929,81.350,81.745,82.130,82.555,82.975,83.402,83.802,84.131,84.449,84.789,85.129,85.572,85.957,86.283,86.552,86.773,86.860,86.886,86.904,86.950,87.006,87.095,87.176,87.392,87.579,87.802,88.034,88.327,88.607,88.839,89.018,89.192,89.359,89.727,90.092,90.454,90.870,91.303,91.710,92.186,92.716,93.264,93.673,94.102,94.445,94.892,95.299,95.726,96.302,96.834,97.418,97.917,98.445,98.943,99.458,100.000,100.434,100.952
25,서울,송파구,86.875,87.328,87.727,88.117,88.557,88.967,89.358,89.774,90.181,90.557,90.939,91.341,91.728,92.099,92.465,92.822,93.048,93.059,93.051,93.055,93.032,93.027,93.062,93.097,93.146,93.201,93.256,93.340,93.453,93.612,93.751,93.900,94.030,94.141,94.260,94.399,94.560,94.709,94.876,95.079,95.333,95.585,95.807,96.018,96.208,96.393,96.639,96.887,97.174,97.434,97.695,98.047,98.406,98.784,99.189,99.625,100.000,100.380,100.746
26,서울,강동구,88.505,88.878,89.298,89.671,90.052,90.389,90.676,91.015,91.300,91.569,91.843,92.172,92.476,92.777,93.071,93.345,93.515,93.487,93.446,93.425,93.392,93.355,93.369,93.388,93.413,93.464,93.514,93.593,93.688,93.893,94.117,94.296,94.430,94.556,94.726,94.911,95.088,95.277,95.504,95.705,95.936,96.185,96.441,96.665,96.857,97.045,97.282,97.540,97.780,98.044,98.303,98.565,98.848,99.140,99.429,99.741,100.000,100.263,100.579
